UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KR349004,09-Jan-2011,,Culex pipiens,,,,38.4672,-121.4528,,,PMID26210076
,KR349003,09-Jan-2011,,Culex tarsalis,,,,38.4672,-121.4528,,,PMID26210076
,KR349002,09-Jan-2011,,Culex tarsalis,,,,38.4598,-121.3575,,,PMID26210076
,KR349001,09-Jan-2011,,Culex pipiens,,,,38.4491,-121.3665,,,PMID26210076
,KR349000,25-Jul-2008,,Culex tarsalis,,,,38.2861,-121.587,,,PMID26210076
,KR348999,18-Jul-2005,,Culex pipiens,,,,38.6708,-121.3061,,,PMID26210076
,KR348998,27-Jun-2008,,Culex pipiens,,,,38.5035,-121.499,,,PMID26210076
,KR348997,29-Jun-2005,,Culex pipiens,,,,38.5835,-121.3728,,,PMID26210076
,KR348996,10-Aug-2004,,Culex tarsalis,,,,38.4432,-121.4998,,,PMID26210076
,KR348995,23-Aug-2005,,Culex tarsalis,,,,38.3428,-121.5053,,,PMID26210076
,KR348994,24-Aug-2005,,Culex pipiens,,,,38.4891,-121.3948,,,PMID26210076
,KR348993,21-Jul-2011,,Culex tarsalis,,,,34.8333,-114.60,,,PMID26210076
,KR348992,22-Sep-2006,,Culex quinquefasciatus,,,,35.3797,-119.1117,,,PMID26210076
,KR348991,14-Sep-2007,,Culex quinquefasciatus,,,,35.3783,-119.036,,,PMID26210076
,KR348990,13-Sep-2007,,Culex quinquefasciatus,,,,35.502,-119.2539,,,PMID26210076
,KR348989,09-Nov-2007,,Culex tarsalis,,,,35.2525,-119.2375,,,PMID26210076
,KR348988,09-Dec-2008,,Culex quinquefasciatus,,,,35.3597,-119.0206,,,PMID26210076
,KR348987,09-Oct-2008,,Culex tarsalis,,,,35.2939,-118.9431,,,PMID26210076
,KR348986,14-Aug-2007,,Culex tarsalis,,,,35.1664,-118.8247,,,PMID26210076
,KR348985,14-Aug-2007,,Culex tarsalis,,,,35.2939,-118.9431,,,PMID26210076
,KR348984,09-Jan-2011,,Culex quinquefasciatus,,,,35.5936,-119.3503,,,PMID26210076
,KR348983,09-Jan-2011,,Culex quinquefasciatus,,,,35.5022,-119.2539,,,PMID26210076
,KR348982,09-Jan-2011,,Culex quinquefasciatus,,,,35.5022,-119.2539,,,PMID26210076
,KR348981,09-Jan-2011,,Culex tarsalis,,,,35.2758,-119.0986,,,PMID26210076
,KR348980,09-Jan-2011,,Culex tarsalis,,,,35.1364,-118.9416,,,PMID26210076
,KR348979,13-Jul-2004,,Culex quinquefasciatus,,,,35.4356,-119.1256,,,PMID26210076
,KR348978,27-Jun-2008,,Culex quinquefasciatus,,,,35.3486,-119.0403,,,PMID26210076
,KR348977,15-Aug-2011,,Culex tarsalis,,,,37.3494,-118.3681,,,PMID26210076
,KR348976,18-Jul-2011,,Culex tarsalis,,,,37.3494,-118.3681,,,PMID26210076
,KR348975,08-Mar-2004,,Culex quinquefasciatus,,,,33.8533,-118.1022,,,PMID26210076
,KR348974,08-Mar-2004,,Culex stigmatosoma,,,,34.03,-118.0542,,,PMID26210076
,KR348973,07-Jun-2011,,Culex quinquefasciatus,,,,33.8686,-118.0339,,,PMID26210076
,KR348972,07-Jun-2011,,Culex quinquefasciatus,,,,33.8417,-118.0611,,,PMID26210076
,KR348971,30-Jun-2011,,Culex stigmatosoma,,,,34.0313,-117.8170,,,PMID26210076
,KR348970,22-Jul-2008,,Culex quinquefasciatus,,,,33.98,-117.8633,,,PMID26210076
,KR348969,24-Jun-2011,,Culex stigmatosoma,,,,33.9533,-118.1480,,,PMID26210076
,KR348968,22-Jul-2008,,Culex quinquefasciatus,,,,34.005,-117.8125,,,PMID26210076
,KR348967,17-Nov-2011,,Culex quinquefasciatus,,,,34.1167,-118.1114,,,PMID26210076
,KR348966,28-Oct-2011,,Culex quinquefasciatus,,,,34.4534,-118.6183,,,PMID26210076
,KR348965,26-Oct-2011,,Culex quinquefasciatus,,,,34.2392,-118.6272,,,PMID26210076
,KR348964,25-Oct-2011,,Culex quinquefasciatus,,,,34.1633,-118.6339,,,PMID26210076
,KR348963,09-Feb-2011,,Culex stigmatosoma,,,,34.1856,-118.493,,,PMID26210076
,KR348962,09-Feb-2011,,Culex quinquefasciatus,,,,34.19,-118.4944,,,PMID26210076
,KR348961,09-Feb-2011,,Culex quinquefasciatus,,,,34.186,-118.4925,,,PMID26210076
,KR348960,09-Feb-2011,,Culex quinquefasciatus,,,,34.1856,-118.4925,,,PMID26210076
,KR348959,09-Feb-2011,,Culex quinquefasciatus,,,,34.1728,-118.4892,,,PMID26210076
,KR348958,09-Feb-2011,,Culex quinquefasciatus,,,,34.1742,-118.4975,,,PMID26210076
,KR348957,08-Dec-2010,,Culex quinquefasciatus,,,,34.1931,-118.5681,,,PMID26210076
,KR348956,08-Dec-2010,,Culex quinquefasciatus,,,,34.1856,-118.4925,,,PMID26210076
,KR348955,12-May-2007,,Culex quinquefasciatus,,,,34.1572,-118.4653,,,PMID26210076
,KR348954,08-Nov-2010,,Culex quinquefasciatus,,,,34.40,-118.475,,,PMID26210076
,KR348953,25-Sep-2008,,Culex quinquefasciatus,,,,34.1375,-118.276,,,PMID26210076
,KR348952,18-Oct-2007,,Culex quinquefasciatus,,,,34.19,-118.4944,,,PMID26210076
,KR348951,17-May-2004,,Culex quinquefasciatus,,,,33.8989,-118.0186,,,PMID26210076
,KR348950,22-May-2008,,Culex quinquefasciatus,,,,33.9497,-118.0964,,,PMID26210076
,KR348949,24-Aug-2004,,Culex quinquefasciatus,,,,33.7025,-116.3720,,,PMID26210076
,KR348948,16-Aug-2004,,Culex quinquefasciatus,,,,33.6775,-116.3008,,,PMID26210076
,KR348947,18-Sep-2007,,Culex quinquefasciatus,,,,34.1856,-118.493,,,PMID26210076
,KR348946,24-Jul-2008,,Culex quinquefasciatus,,,,34.1894,-118.469,,,PMID26210076
,KR348945,28-Apr-2004,,Culex tarsalis,,,,33.5211,-115.9393,,,PMID26210076
,KR348944,14-Sep-2010,,Culex tarsalis,,,,33.4594,-116.0873,,,PMID26210076
,KR348943,14-Apr-2004,,Culex tarsalis,,,,33.5112,-115.9255,,,PMID26210076
,KR348942,30-Aug-2011,,Culex tarsalis,,,,33.5291,-116.0352,,,PMID26210076
,KR348941,30-Aug-2011,,Culex tarsalis,,,,33.5322,-116.0309,,,PMID26210076
,KR348940,06-Aug-2010,,Culex tarsalis,,,,33.5401,-116.0618,,,PMID26210076
,KR348939,19-Jun-2005,,Culex tarsalis,,,,33.5691,-116.0615,,,PMID26210076
,KR348938,15-Feb-2011,,Culex tarsalis,,,,33.5255,-115.9566,,,PMID26210076
,KR348937,06-Aug-2010,,Culex tarsalis,,,,33.5400,-116.0789,,,PMID26210076
,KR348936,25-Sep-2008,,Culex quinquefasciatus,,,,33.8055,-116.4984,,,PMID26210076
,KR348935,29-May-2005,,Culex tarsalis,,,,33.5112,-115.9255,,,PMID26210076
,KR348934,18-Sep-2007,,Culex tarsalis,,,,33.5252,-116.0955,,,PMID26210076
,KR348933,09-Mar-2008,,Culex tarsalis,,,,33.5692,-116.0792,,,PMID26210076
,KR348932,18-Sep-2007,,Culex tarsalis,,,,33.5839,-116.1296,,,PMID26210076
,KR348931,09-Jan-2009,,Culex tarsalis,,,,33.54,-116.0789,,,PMID26210076
,KR348930,09-Jan-2009,,Culex tarsalis,,,,33.5260,-116.0789,,,PMID26210076
,KR348929,07-Oct-2008,,Culex tarsalis,,,,33.5254,-115.991,,,PMID26210076
,KR348928,07-Oct-2007,,Culex tarsalis,,,,33.5400,-116.0789,,,PMID26210076
,KR348927,16-Sep-2003,,Culex tarsalis,,,,33.2819,-115.5786,,,PMID26210076
,KR348926,06-Dec-2008,,Culex tarsalis,,,,33.5402,-116.009,,,PMID26210076
,KR348925,19-Aug-2003,,Culex tarsalis,,,,33.1781,-115.6144,,,PMID26210076
,KR348924,19-Aug-2003,,Culex tarsalis,,,,33.1781,-115.6144,,,PMID26210076
,KR348923,19-Aug-2003,,Culex tarsalis,,,,33.2819,-115.5786,,,PMID26210076
,KR348922,18-Aug-2009,,Culex tarsalis,,,,37.8944,-121.588,,,PMID26210076
,KR348921,08-Mar-2009,,Culex pipiens,,,,38.011,-121.797,,,PMID26210076
,KR348920,08-Mar-2009,,Culex tarsalis,,,,38.0108,-121.797,,,PMID26210076
,KR348919,29-Jul-2009,,Culex tarsalis,,,,38.0014,-121.621,,,PMID26210076
,KR348918,10-Mar-2011,,Culex pipiens,,,,38.0092,-122.0372,,,PMID26210076
,KR348917,18-Aug-2008,,Culex tarsalis,,,,38.0108,-121.797,,,PMID26210076
,KR348916,18-Aug-2008,,Culex tarsalis,,,,37.9986,-121.679,,,PMID26210076
,KR348915,29-Aug-2011,,Culex tarsalis,,,,37.975,-121.5822,,,PMID26210076
