UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KR349026,13-Sep-2011,,Culex tarsalis,,,,39.1172,-121.7567,,,PMID26210076
,KR349025,25-Jul-2007,,Culex tarsalis,,,,40.5033,-122.3158,,,PMID26210076
,KR349024,19-Aug-2003,,Culex tarsalis,,,,33.2819,-115.5786,,,PMID26210076
,KR349023,13-Aug-2004,,Culex tarsalis,,,,38.6428,-121.9761,,,PMID26210076
,KR349022,09-Feb-2011,,Culex quinquefasciatus,,,,34.1856,-118.493,,,PMID26210076
,KR349021,09-Jan-2011,,Culex tarsalis,,,,38.4318,-121.4389,,,PMID26210076
,KR349020,09-Feb-2011,,Culex tarsalis,,,,40.4162,-122.239,,,PMID26210076
,KR349019,25-Aug-2009,,Culex pipiens,,,,40.5019,-122.3331,,,PMID26210076
,KR349018,26-Jul-2007,,Culex pipiens,,,,40.4815,-122.3479,,,PMID26210076
,KR349017,25-Jul-2007,,Culex pipiens,,,,40.5034,-122.3158,,,PMID26210076
,KR349016,13-Aug-2004,,Culex tarsalis,,,,38.6944,-122.0458,,,PMID26210076
,KR349015,08-Nov-2004,,Culex tarsalis,,,,38.4432,-121.4998,,,PMID26210076
,KR349014,26-Aug-2008,,Culex tarsalis,,,,38.6597,-121.734,,,PMID26210076
,KR349013,25-Sep-2007,,Culex tarsalis,,,,38.3849,-121.219,,,PMID26210076
,KR349012,28-Jul-2005,,Culex pipiens,,,,38.7139,-121.2792,,,PMID26210076
,KR349011,28-Jul-2005,,Culex pipiens,,,,38.7139,-121.2792,,,PMID26210076
,KR349010,26-Jul-2005,,Culex tarsalis,,,,38.3428,-121.5053,,,PMID26210076
,KR349009,15-Jul-2005,,Culex tarsalis,,,,38.5197,-121.7567,,,PMID26210076
,KR349008,15-Jul-2005,,Culex tarsalis,,,,38.5717,-121.7308,,,PMID26210076
,KR349007,15-Jul-2005,,Culex tarsalis,,,,38.4603,-121.745,,,PMID26210076
,KR349006,09-Jan-2011,,Culex pipiens,,,,38.4318,-121.4389,,,PMID26210076
,KR349005,09-Jan-2011,,Culex pipiens,,,,38.4601,-121.3948,,,PMID26210076
