UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,HM488213,8/20/03,mosquito,Culex restuans,Darien,,Conneticut,,,,,PMID21723580
,HM488214,8/20/03,mosquito,Culex pipiens,Fairfield,,Conneticut,,,,,PMID21723580
,HM488215,8/20/03,mosquito,Culiseta melanura,Fairfield,,Conneticut,,,,,PMID21723580
,HM488216,8/20/03,mosquito,Culiseta melanura,Voluntown,,Conneticut,,,,,PMID21723580
,HM488217,8/21/03,mosquito,Culex salinarius,New Haven,,Conneticut,,,,,PMID21723580
,HM488218,8/25/03,mosquito,Culex pipiens,Danbury,,Conneticut,,,,,PMID21723580
,HM488219,8/25/03,mosquito,Culex pipiens,Southington,,Conneticut,,,,,PMID21723580
,HM488220,8/25/03,mosquito,Culex salinarius,West Haven,,Conneticut,,,,,PMID21723580
,HM488221,9/3/03,mosquito,Culiseta melanura,Ledyard,,Conneticut,,,,,PMID21723580
,HM488222,9/9/03,mosquito,Culiseta melanura,Stonington,,Conneticut,,,,,PMID21723580
,HM488223,9/11/03,mosquito,Culiseta melanura,Fairfield,,Conneticut,,,,,PMID21723580
,HM488224,9/11/03,mosquito,Culiseta melanura,Fairfield,,Conneticut,,,,,PMID21723580
,HM488225,9/15/03,mosquito,Aedes cinereus,New Haven,,Conneticut,,,,,PMID21723580
,HM488226,9/15/03,mosquito,Culex pipiens,New Haven,,Conneticut,,,,,PMID21723580
,HM488227,9/15/03,mosquito,Culex restuans,New Haven,,Conneticut,,,,,PMID21723580
,HM488228,9/15/03,mosquito,Culex salinarius,New Haven,,Conneticut,,,,,PMID21723580
,HM488229,9/15/03,mosquito,Psorophora ferox,New Haven,,Conneticut,,,,,PMID21723580
,HM488230,9/16/03,mosquito,Culex salinarius,Plainfield,,Conneticut,,,,,PMID21723580
,HM488231,9/17/03,mosquito,Culiseta melanura,Chester,,Conneticut,,,,,PMID21723580
,HM488232,9/17/03,mosquito,Culiseta melanura,Chester,,Conneticut,,,,,PMID21723580
,HM488233,9/17/03,mosquito,Aedes vexans,Meriden,,Conneticut,,,,,PMID21723580
,HM488234,9/17/03,mosquito,Culex salinarius,Meriden,,Conneticut,,,,,PMID21723580
,HM488235,9/24/03,mosquito,Culiseta melanura,Darien,,Conneticut,,,,,PMID21723580
