UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KX547555,17-Jul-2012,,Culex sp.,,Orange,New York,,,,,PRJNA262930
,KX547554,12-Sep-2002,,Turdus migratorius,,Bronx,New York,,,,,PRJNA262930
,KX547553,16-Sep-2006,,Cyanocitta cristata,,Jefferson,New York,,,,,PRJNA262930
,KX547552,16-Sep-2010,,Cyanocitta cristata,,Kings,New York,,,,,PRJNA262930
,KX547551,03-Oct-2013,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547550,04-Sep-2003,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547549,02-Oct-2003,,Corvus brachyrhynchos,,Cortland,New York,,,,,PRJNA262930
,KX547548,02-Sep-2014,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547547,23-Aug-2012,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547546,19-Sep-2006,,Corvus brachyrhynchos,,Otsego,New York,,,,,PRJNA262930
,KX547545,28-Sep-2007,,Corvus brachyrhynchos,,Monroe,New York,,,,,PRJNA262930
,KX547544,26-Aug-2009,,Accipiter striatus,,Onondaga,New York,,,,,PRJNA262930
,KX547543,05-Sep-2007,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547542,07-Jun-2004,,Corvus brachyrhynchos,,Erie,New York,,,,,PRJNA262930
,KX547541,28-Aug-2009,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547540,27-Sep-2012,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547539,22-Aug-2007,,Corvus brachyrhynchos,,Tompkins,New York,,,,,PRJNA262930
,KX547538,15-Aug-2001,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547537,27-Sep-2011,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547536,01-Jun-2004,,Corvus brachyrhynchos,,Chautauqua,New York,,,,,PRJNA262930
,KX547535,06-Sep-2007,,Cyanocitta cristata,,Schenectady,New York,,,,,PRJNA262930
,KX547534,29-Sep-2004,,Cyanocitta cristata,,Erie,New York,,,,,PRJNA262930
,KX547533,20-May-2004,,Corvus brachyrhynchos,,Cattaraugus,New York,,,,,PRJNA262930
,KX547532,01-Aug-2005,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547531,13-Aug-2003,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547530,30-Sep-2005,,Passer domesticus,,Dutchess,New York,,,,,PRJNA262930
,KX547529,24-Aug-2011,,Culex sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547528,24-Aug-2007,,Cyanocitta cristata,,Queens,New York,,,,,PRJNA262930
,KX547527,03-Oct-2002,,Equus caballus,,Schenectady,New York,,,,,PRJNA262930
,KX547526,05-Sep-2003,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547525,02-Sep-2002,,Corvus brachyrhynchos,,Montgomery,New York,,,,,PRJNA262930
,KX547524,21-Aug-2013,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547523,16-Jul-2005,,Corvus brachyrhynchos,,Albany,New York,,,,,PRJNA262930
,KX547522,10-Aug-2009,,Corvus ossifragus,,Nassau,New York,,,,,PRJNA262930
,KX547521,18-Aug-2005,,Corvus brachyrhynchos,,Schuyler,New York,,,,,PRJNA262930
,KX547520,11-Sep-2012,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547519,01-Sep-2000,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547518,31-Aug-2009,,Corvus brachyrhynchos,,Columbia,New York,,,,,PRJNA262930
,KX547517,04-Sep-2009,,Corvus brachyrhynchos,,Ulster,New York,,,,,PRJNA262930
,KX547516,22-Aug-2007,,Corvus brachyrhynchos,,Tompkins,New York,,,,,PRJNA262930
,KX547515,02-Sep-2009,,Corvus brachyrhynchos,,Schenectady,New York,,,,,PRJNA262930
,KX547514,12-Sep-2013,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547513,14-Sep-2005,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547512,22-Aug-2005,,Corvus brachyrhynchos,,Chautauqua,New York,,,,,PRJNA262930
,KX547511,21-Aug-2006,,Accipiter gentilis,,Erie,New York,,,,,PRJNA262930
,KX547510,14-Sep-2007,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547509,13-Aug-2002,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547508,05-Sep-2005,,Corvus brachyrhynchos,,Lewis,New York,,,,,PRJNA262930
,KX547507,11-Aug-2011,,Coquillettidia sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547506,21-Aug-2002,,Corvus brachyrhynchos,,Lewis,New York,,,,,PRJNA262930
,KX547505,26-Sep-2002,,Culex sp.,,Warren,New York,,,,,PRJNA262930
,KX547504,19-Sep-2008,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547503,14-Aug-2002,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547502,13-Sep-2006,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547501,10-Sep-2004,,Corvus brachyrhynchos,,Queens,New York,,,,,PRJNA262930
,KX547500,23-Aug-2007,,Corvus brachyrhynchos,,Dutchess,New York,,,,,PRJNA262930
,KX547499,14-Jul-2004,,Corvus brachyrhynchos,,Herkimer,New York,,,,,PRJNA262930
,KX547498,09-Sep-2009,,Corvus brachyrhynchos,,Erie,New York,,,,,PRJNA262930
,KX547497,01-Aug-2012,,Culex sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547496,25-Jul-2007,,Corvus brachyrhynchos,,Niagara,New York,,,,,PRJNA262930
,KX547495,21-Jul-2011,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
